,sessionNo,startHour,startWeekday,duration,cCount,cMinPrice,cMaxPrice,cSumPrice,bCount,bMinPrice,bMaxPrice,bSumPrice,bStep,onlineStatus,availability,customerId,maxVal,customerScore,accountLifetime,payments,age,address,lastOrder
1,0,7,6,3158.17,10,88.118,110.33999999999999,925.7,0,0.0,0.0,0.0,3.0,y,completely orderable,?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,6,2,57.84,2,31.28,110.33999999999999,734.5625,1,61.6,42.84666666666667,246.83,2.875,y,mainly orderable,?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2,13,6,5277.82,1,88.118,110.33999999999999,225.18,3,56.92375,62.67,310.36285714285714,5.0,ausente ,ausente ,uypteswair,8569.0,92.0,93.0,59.0,0.0,2.0,564.0
16,3,8,6,6226.37,7,88.118,110.33999999999999,998.6,2,71.28,42.84666666666667,291.03,4.0,y,ausente ,?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,4,6,6,3181.14,8,129.74,110.33999999999999,734.5625,9,27.12,142.99,661.8,2.0,n,completely not orderable,lricgzkute,8868.0,19.125,30.0,12.11111111111111,0.0,3.0,452.44444444444446
26,5,11,5,5712.03,4,110.3,110.33999999999999,734.5625,7,56.92375,13.58,310.36285714285714,1.0,y,completely not orderable,jpxytlteen,3873.5555555555557,61.0,90.0,19.0,0.0,2.0,2415.0
35,6,18,3,10608.71,7,84.31,70.04,734.5625,3,88.67,42.84666666666667,310.36285714285714,4.0,ausente ,mainly orderable,?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,7,14,4,6005.53,8,88.118,127.55,734.5625,0,0.0,0.0,0.0,3.0,y,completely not orderable,?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,8,10,7,3686.1,8,88.118,110.33999999999999,788.77,3,137.64,42.84666666666667,281.49,1.0,n,completely orderable,?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,9,9,2,8121.68,10,84.96,133.43,734.5625,7,69.08,37.84,691.39,2.875,ausente ,completely orderable,naexpoqvib,17425.0,19.125,87.0,31.0,0.0,0.7777777777777778,1093.0
